sheme	cpd00557
sprm	cpd00558
urcan	cpd00581
sbt-D	cpd00588
altrn	cpd00608
glcr	cpd00609
met-D	cpd00637
dnad	cpd00638
histd	cpd00641
rml	cpd00642
pnto-R	cpd00644
b2coa	cpd00650
galctr-D	cpd00652
dcyt	cpd00654
dpcoa	cpd00655
ichor	cpd00658
tartr-L	cpd00666
alac-S	cpd00668
fruur	cpd00672
chols	cpd00681
dhpt	cpd00683
ppbng	cpd00689
3dhq	cpd00699
2dhp	cpd00712
acser	cpd00722
2pglyc	cpd00727
alaala	cpd00731
pser-L	cpd00738
ribflvRD	cpd00739
hmbil	cpd00755
2mbcoa	cpd00760
dann	cpd00764
uamr	cpd00773
uppg3	cpd00774
pmcoa	cpd00782
pppg9	cpd00791
thmmp	cpd00793
tre	cpd00794
8aonn	cpd00800
f1p	cpd00802
tag6p-D	cpd00805
hisp	cpd00807
ru5p-L	cpd00808
phom	cpd00809
orot5p	cpd00810
suchms	cpd00822
rml1p	cpd00831
pan4p	cpd00834
ametam	cpd00837
36dahx	cpd00840
3hbycoa	cpd00842
2h3opp	cpd00843
glu5sa	cpd00858
uacmam	cpd00861
g6p-B	cpd00863
mi1p-D	cpd00867
34hpp	cpd00868
2kmb	cpd00869
nicrnt	cpd00873
3hmp	cpd00876
inoshp	cpd00885
uama	cpd00890
hexdp	cpd00906
g3pe	cpd00908
6pgl	cpd00911
acg5sa	cpd00918
imacp	cpd00930
5apru	cpd00931
3psme	cpd00932
4ahmmp	cpd00939
2ahhmp	cpd00954
2cpr5p	cpd00956
25dhpp	cpd00957
na1	cpd00971
dudp	cpd00978
fadh2	cpd00982
3amp	cpd00988
3ump	cpd00989
btal	cpd01011
cd2	cpd01012
cgly	cpd01017
salcn	cpd01030
arsna	cpd01048
ocdca	cpd01080
alltn	cpd01092
pur	cpd01132
stchs	cpd01133
15dap	cpd01155
chitob	cpd01157
galt	cpd01171
nebari	cpd01197
pala	cpd01200
xtsn	cpd01217
drib	cpd01242
ddcoa	cpd01260
malttr	cpd01262
fmnRD	cpd01270
dtbt	cpd01311
occoa	cpd01335
thiog	cpd01415
acmalt	cpd01441
ppp9	cpd01476
2mcit	cpd01501
2hxmp	cpd01553
23camp	cpd01570
23ccmp	cpd01571
23cump	cpd01572
shcl	cpd01620
tmp	cpd01622
3c3hmp	cpd01646
butpi	cpd01662
pser-D	cpd01665
suc6p	cpd01693
tdcoa	cpd01695
2ippm	cpd01710
3dhsk	cpd01716
pime	cpd01727
sucbz	cpd01772
prbatp	cpd01775
prbamp	cpd01777
imzac	cpd01831
ppap	cpd01844
ivcoa	cpd01882
metox	cpd01914
malt6p	cpd01919
acmama	cpd01923
btd-RR	cpd01947
4hglu	cpd01974
4pasp	cpd01977
5mtr	cpd01981
pram	cpd01982
fmet	cpd02012
rnam	cpd02016
sbzcoa	cpd02021
skm5p	cpd02030
trans-dd2coa	cpd02060
3php	cpd02069
cpppg3	cpd02083
g3pg	cpd02090
glu5p	cpd02097
23dhdp	cpd02120
2maacoa	cpd02124
2mb2coa	cpd02125
air	cpd02140
argsuc	cpd02152
diasprm	cpd02158
oxglyc	cpd02186
2mp2coa	cpd02187
4ppan	cpd02201
3ig3p	cpd02210
2aobut	cpd02211
rhcys	cpd02227
dtpcudcpp	cpd02229
dhna	cpd02295
4izp	cpd02311
quln	cpd02333
glu1sa	cpd02345
tagdp-D	cpd02371
dcamp	cpd02375
gar	cpd02394
1pyr5c	cpd02431
thdp	cpd02465
23dhba	cpd02494
23dhmb	cpd02498
5dh4dglcn	cpd02508
23dhmp	cpd02535
acg5p	cpd02552
23ddhb	cpd02566
5mdr1p	cpd02574
hepdp	cpd02590
pendp	cpd02591
3c4mop	cpd02605
acgam1p	cpd02611
1p3h5c	cpd02625
4mhetz	cpd02636
pran	cpd02642
4mpetz	cpd02654
dmlz	cpd02656
46dh25dohxn	cpd02663
4ppcys	cpd02666
fgam	cpd02678
26dapime	cpd02685
3hmbcoa	cpd02691
3c2hmp	cpd02693
sl26da	cpd02698
amob	cpd02701
2ddg6p	cpd02711
5aprbu	cpd02720
gdptp	cpd02740
2pcpgc	cpd02754
6pgg	cpd02760
4ampm	cpd02775
5mdru1p	cpd02791
micit	cpd02799
uaccg	cpd02820
fpram	cpd02826
eig3p	cpd02843
aicar	cpd02851
2dda7p	cpd02857
4r5au	cpd02882
fprica	cpd02884
5aizc	cpd02893
2mahmp	cpd02894
2ahhmd	cpd02920
25aics	cpd02921
dhnpt	cpd02961
ugmd	cpd02964
ugmda	cpd02968
ahdt	cpd02978
prfp	cpd02979
prlp	cpd02991
istnt	cpd03048
imzacd	cpd03052
3hhdcoa	cpd03113
3ohdcoa	cpd03114
3htdcoa	cpd03115
3hddcoa	cpd03116
3oddcoa	cpd03117
3hdcoa	cpd03118
3odcoa	cpd03119
3hocoa	cpd03120
3oocoa	cpd03121
3hhcoa	cpd03122
3ohcoa	cpd03123
hxcoa	cpd03124
hx2coa	cpd03125
hdd2coa	cpd03126
td2coa	cpd03127
dccoa	cpd03128
dc2coa	cpd03129
oc2coa	cpd03130
melib	cpd03198
din	cpd03279
acamoxm	cpd03289
srch	cpd03426
2shchc	cpd03451
3cmp	cpd03454
iasp	cpd03470
acmam	cpd03485
uagmda	cpd03494
uaagmda	cpd03495
argp	cpd03535
hibcoa	cpd03572
2ahbut	cpd03575
2o3mpt	cpd03577
gam1p	cpd03671
arbt	cpd03696
arbt6p	cpd03697
salc6p	cpd03698
3gmp	cpd03701
23cgmp	cpd03702
ferrich	cpd03724
ectoine	cpd03727
galt1p	cpd03752
ttdca	cpd03847
arsni2	cpd04098
amacald	cpd04122
ferxa	cpd04761
djenk	cpd05190
3mtp	cpd05191
prolb	cpd07061
mso3	cpd08023
4adcho	cpd08210
tcggrpp	cpd08211
